word,type,category,explanation,example,translation
watashi,pronoun,personal,means I or me,Watashi wa Tanaka desu,I am Tanaka
wa,particle,topic,marks the topic of the sentence,Watashi wa Tanaka desu,I am Tanaka
ga,particle,subject,marks the subject of the sentence,Watashi ga Tanaka desu,I am Tanaka
o,particle,object,marks the direct object,Ringo o tabemasu,I eat an apple
ni,particle,direction,indicates direction or time,Gakkou ni ikimasu,I go to school
de,particle,location,indicates location of action,Toshokan de benkyou shimasu,I study at the library
ka,particle,question,turns statement into question,Sushi ga suki desu ka,Do you like sushi
ne,particle,agreement,seeks agreement like right,Samui desu ne,Cold isnt it
yo,particle,emphasis,emphasizes information,Totemo samui desu yo,It is very cold
tabemasu,verb,present polite,means to eat,Watashi wa gohan o tabemasu,I eat rice
taberu,verb,dictionary,means to eat plain form,Watashi wa gohan o taberu,I eat rice
tabetai,verb,desire,want to eat,Gohan o tabetai desu,I want to eat rice
ikimasu,verb,present polite,means to go,Gakkou e ikimasu,I go to school
iku,verb,dictionary,means to go plain form,Watashi wa iku,I go
desu,copula,present polite,polite form of to be,Sore wa pen desu,That is a pen
takai,adjective,i-adjective,means expensive,Kono kutsu wa takai desu,These shoes are expensive
yasui,adjective,i-adjective,means cheap,Kono kutsu wa yasui desu,These shoes are cheap
suki,adjective,na-adjective,means liked or favorite,Sushi ga suki desu,I like sushi
kirei,adjective,na-adjective,means beautiful,Kirei na hana desu,It is a beautiful flower
omoshiroi,adjective,i-adjective,means interesting,Eiga wa omoshiroi desu,The movie is interesting
tanoshii,adjective,i-adjective,means fun,Party wa tanoshii desu,The party is fun
totemo,adverb,degree,means very,Sore wa totemo ii desu,That is very good
sukoshi,adverb,degree,means a little,Sukoshi tabemashita,I ate a little
takusan,adverb,quantity,means a lot,Takusan arimasu,There is a lot
demo,conjunction,but,means but,Suki desu demo takai desu,I like it but it is expensive
soshite,conjunction,and then,means and then,Tabete soshite nemashita,I ate and then slept
arigatou,expression,thanks,means thank you,Arigatou gozaimasu,Thank you very much
sumimasen,expression,apology,means excuse me or sorry,Sumimasen eki wa doko desu ka,Excuse me where is the station
ohayou,expression,greeting,means good morning,Ohayou gozaimasu,Good morning
konnichiwa,expression,greeting,means good afternoon,Konnichiwa genki desu ka,Hello how are you
konbanwa,expression,greeting,means good evening,Konbanwa oyasumi nasai,Good evening good night
gomennasai,expression,apology,means I am sorry,Gomennasai okurete shimaimashita,Im sorry I am late
onegaishimasu,expression,request,means please,Yoroshiku onegaishimasu,Please take care of it
hai,expression,affirmation,means yes,Hai wakarimashita,Yes I understand
iie,expression,negation,means no,Iie chigaimasu,No that is wrong
